w1: 86/3000 games 6008 recs agree=0.799 [1.62s/g]
w1: 178/3000 games 12115 recs agree=0.802 [1.57s/g]
w1: 265/3000 games 18272 recs agree=0.803 [1.61s/g]
w1: 353/3000 games 24430 recs agree=0.804 [1.61s/g]
w1: 436/3000 games 30578 recs agree=0.804 [1.64s/g]
w1: 524/3000 games 36736 recs agree=0.805 [1.64s/g]
w1: 608/3000 games 42736 recs agree=0.805 [1.66s/g]
w1: 692/3000 games 48885 recs agree=0.806 [1.67s/g]
w1: 776/3000 games 54950 recs agree=0.805 [1.69s/g]
w1: 864/3000 games 60950 recs agree=0.805 [1.68s/g]
w1: 946/3000 games 66951 recs agree=0.804 [1.69s/g]
w1: 1035/3000 games 72951 recs agree=0.804 [1.68s/g]
w1: 1127/3000 games 78978 recs agree=0.804 [1.66s/g]
w1: 1210/3000 games 85082 recs agree=0.803 [1.67s/g]
w1: 1296/3000 games 91179 recs agree=0.802 [1.67s/g]
w1: 1381/3000 games 97209 recs agree=0.802 [1.68s/g]
w1: 1465/3000 games 103221 recs agree=0.802 [1.69s/g]
w1: 1548/3000 games 109243 recs agree=0.803 [1.69s/g]
w1: 1628/3000 games 115259 recs agree=0.803 [1.70s/g]
w1: 1710/3000 games 121343 recs agree=0.802 [1.71s/g]
w1: 1793/3000 games 127349 recs agree=0.802 [1.71s/g]
w1: 1877/3000 games 133474 recs agree=0.803 [1.72s/g]
w1: 1964/3000 games 139480 recs agree=0.803 [1.71s/g]
w1: 2048/3000 games 145547 recs agree=0.803 [1.72s/g]
w1: 2138/3000 games 151570 recs agree=0.803 [1.71s/g]
w1: 2226/3000 games 157681 recs agree=0.803 [1.70s/g]
w1: 2315/3000 games 163695 recs agree=0.802 [1.70s/g]
w1: 2405/3000 games 169772 recs agree=0.803 [1.70s/g]
w1: 2489/3000 games 175876 recs agree=0.803 [1.70s/g]
w1: 2574/3000 games 181938 recs agree=0.803 [1.70s/g]
w1: 2657/3000 games 188069 recs agree=0.803 [1.70s/g]
w1: 2733/3000 games 194075 recs agree=0.803 [1.71s/g]
w1: 2817/3000 games 200103 recs agree=0.803 [1.71s/g]
w1: 2900/3000 games 206136 recs agree=0.803 [1.71s/g]
w1: 2985/3000 games 212159 recs agree=0.803 [1.71s/g]
w1 DONE 3000 games; stats={'recorded': 213227, 'agree': 171161, 'loss_dragapult': 508, 'loss_archaludon': 491, 'loss_ex_lucario': 158, 'win_ex_lucario': 443, 'win_mirror_revenge': 316, 'win_crustle': 524, 'loss_mirror_revenge': 285, 'win_dragapult': 94, 'win_archaludon': 79, 'loss_crustle': 102, 'draws': 10}
