w3: 87/3000 games 7494 recs agree=0.842 [1.91s/g]
w3: 174/3000 games 13545 recs agree=0.825 [1.80s/g]
w3: 264/3000 games 19697 recs agree=0.817 [1.73s/g]
w3: 346/3000 games 25778 recs agree=0.812 [1.75s/g]
w3: 431/3000 games 31786 recs agree=0.810 [1.73s/g]
w3: 520/3000 games 37874 recs agree=0.808 [1.72s/g]
w3: 604/3000 games 43875 recs agree=0.807 [1.73s/g]
w3: 696/3000 games 49894 recs agree=0.805 [1.71s/g]
w3: 785/3000 games 56084 recs agree=0.805 [1.69s/g]
w3: 876/3000 games 62157 recs agree=0.805 [1.68s/g]
w3: 958/3000 games 68193 recs agree=0.806 [1.69s/g]
w3: 1041/3000 games 74199 recs agree=0.805 [1.69s/g]
w3: 1128/3000 games 80254 recs agree=0.805 [1.69s/g]
w3: 1218/3000 games 86430 recs agree=0.805 [1.69s/g]
w3: 1305/3000 games 92453 recs agree=0.805 [1.69s/g]
w3: 1382/3000 games 98453 recs agree=0.805 [1.70s/g]
w3: 1470/3000 games 104511 recs agree=0.804 [1.70s/g]
w3: 1556/3000 games 110513 recs agree=0.804 [1.70s/g]
w3: 1633/3000 games 116542 recs agree=0.804 [1.71s/g]
w3: 1715/3000 games 122565 recs agree=0.804 [1.71s/g]
w3: 1804/3000 games 128598 recs agree=0.805 [1.70s/g]
w3: 1891/3000 games 134697 recs agree=0.805 [1.70s/g]
w3: 1973/3000 games 140758 recs agree=0.805 [1.70s/g]
w3: 2050/3000 games 146798 recs agree=0.805 [1.71s/g]
w3: 2130/3000 games 152806 recs agree=0.804 [1.72s/g]
w3: 2216/3000 games 158817 recs agree=0.804 [1.71s/g]
w3: 2295/3000 games 164824 recs agree=0.805 [1.71s/g]
w3: 2374/3000 games 170868 recs agree=0.804 [1.72s/g]
w3: 2454/3000 games 176887 recs agree=0.804 [1.72s/g]
w3: 2535/3000 games 182902 recs agree=0.804 [1.72s/g]
w3: 2620/3000 games 188929 recs agree=0.805 [1.72s/g]
w3: 2706/3000 games 194937 recs agree=0.805 [1.72s/g]
w3: 2793/3000 games 200971 recs agree=0.804 [1.72s/g]
w3: 2873/3000 games 207042 recs agree=0.804 [1.72s/g]
w3: 2962/3000 games 213084 recs agree=0.804 [1.72s/g]
w3 DONE 3000 games; stats={'recorded': 215629, 'agree': 173340, 'loss_ex_lucario': 155, 'win_crustle': 510, 'loss_mirror_revenge': 288, 'loss_archaludon': 524, 'loss_dragapult': 521, 'win_mirror_revenge': 341, 'win_ex_lucario': 384, 'loss_crustle': 105, 'win_dragapult': 82, 'win_archaludon': 90, 'draws': 4}
