w2: 91/3000 games 6049 recs agree=0.810 [1.47s/g]
w2: 175/3000 games 13498 recs agree=0.811 [1.81s/g]
w2: 264/3000 games 19558 recs agree=0.808 [1.74s/g]
w2: 348/3000 games 25623 recs agree=0.807 [1.73s/g]
w2: 436/3000 games 31669 recs agree=0.807 [1.69s/g]
w2: 520/3000 games 37710 recs agree=0.807 [1.69s/g]
w2: 614/3000 games 43767 recs agree=0.808 [1.65s/g]
w2: 699/3000 games 49821 recs agree=0.806 [1.66s/g]
w2: 785/3000 games 55831 recs agree=0.805 [1.66s/g]
w2: 868/3000 games 63693 recs agree=0.809 [1.71s/g]
w2: 947/3000 games 69773 recs agree=0.809 [1.74s/g]
w2: 1024/3000 games 75793 recs agree=0.807 [1.75s/g]
w2: 1106/3000 games 81830 recs agree=0.806 [1.75s/g]
w2: 1192/3000 games 87951 recs agree=0.807 [1.74s/g]
w2: 1275/3000 games 93958 recs agree=0.807 [1.74s/g]
w2: 1366/3000 games 99969 recs agree=0.807 [1.73s/g]
w2: 1450/3000 games 106021 recs agree=0.807 [1.72s/g]
w2: 1532/3000 games 112045 recs agree=0.806 [1.73s/g]
w2: 1620/3000 games 118091 recs agree=0.805 [1.72s/g]
w2: 1708/3000 games 124238 recs agree=0.806 [1.72s/g]
w2: 1793/3000 games 130299 recs agree=0.805 [1.72s/g]
w2: 1884/3000 games 136326 recs agree=0.805 [1.70s/g]
w2: 1979/3000 games 142338 recs agree=0.805 [1.69s/g]
w2: 2074/3000 games 148432 recs agree=0.805 [1.69s/g]
w2: 2159/3000 games 154477 recs agree=0.805 [1.69s/g]
w2: 2243/3000 games 160488 recs agree=0.805 [1.69s/g]
w2: 2328/3000 games 166502 recs agree=0.805 [1.69s/g]
w2: 2409/3000 games 172518 recs agree=0.805 [1.69s/g]
w2: 2499/3000 games 178536 recs agree=0.805 [1.69s/g]
w2: 2584/3000 games 184567 recs agree=0.805 [1.69s/g]
w2: 2668/3000 games 190602 recs agree=0.805 [1.69s/g]
w2: 2748/3000 games 196821 recs agree=0.805 [1.69s/g]
w2: 2833/3000 games 202840 recs agree=0.805 [1.69s/g]
w2: 2914/3000 games 208969 recs agree=0.805 [1.70s/g]
w2 DONE 3000 games; stats={'recorded': 214769, 'agree': 172852, 'loss_archaludon': 495, 'loss_ex_lucario': 166, 'win_dragapult': 102, 'win_mirror_revenge': 301, 'win_ex_lucario': 432, 'loss_dragapult': 513, 'win_crustle': 493, 'loss_crustle': 127, 'loss_mirror_revenge': 295, 'draws': 8, 'win_archaludon': 76}
