rank,team,score
1039,Akira Imae,814.1
1040,Sai Reddy Pothireddy,814.1
1041,chatgpt-5.7,814.0
1042,otashue,813.6
1043,Adam,813.5
1044,stochar,813.5
1045,yuuri,813.5
1046,SQLRockstar,813.3
1047,Pioneer 2,813.2
1048,Jason Matthew Suhari,813.2
1049,nakkan_AI,813.1
1050,Muhammed Eliwat,813.0
1051,Help-Computa,812.9
1052,WinDecks,812.8
1053,iwance,812.7
1054,⸻AgentZZ ⸻,812.4
1055,Michey0495,812.3
1056,Pikachu Algorithm,812.1
1057,BlueBuild4,812.0
1058,YehJames,811.9
1059,Özgür Deniz,811.8
1060,Saravanan Jaichandaran,811.8
1061,kunihiro,811.7
1062,Nikita Babych,811.6
1063,Manish Kumar Kumawat,811.4
1064,hoshi18,811.3
1065,星之海,811.0
1066,nishiki,811.0
1067,Kmart0112,810.8
1068,Athar Sayed,810.8
1069,Vibrava,810.6
1070,htehte,810.5
1071,Takahide Seki,810.5
1072,Mathurin Ache,810.4
1073,shiv,810.0
1074,L7n,809.8
1075,kk.sky.9k,809.7
1076,PokéPoké,809.6
1077,Mazga,809.6
1078,Vishesh Banna,809.5
1079,Naoki Yamada,809.4
1080,Melvin Low,809.4
1081,rererenore,808.8
1082,Raunak Dey,808.8
1083,Imran Ahamed,808.7
1084,Deniz Eryılmaz,808.3
1085,Avarams,808.1
1086,S.Aoki,808.1
1087,Aikimi,807.6
1088,taiseiu,807.6
1089,COLD,807.5
1090,jiangzhenyue,807.1
1091,Majiro_ns,807.1
1092,MBOOK,806.3
1093,Biubiu,806.2
1094,Climber513,806.2
1095,c0sm1c,806.1
1096,teammates gone,806.0
1097,Texas is the reason,805.6
1098,sue124,805.6
1099,Shota Hirao,805.6
1100,カドラバ Kadoraba,805.6
1101,Paddington,805.5
1102,shota,805.3
1103,Sohshi Nakamura,805.3
1104,vvhan,805.3
1105,Ifeoluwa Adewumi,805.1
1106,KL,805.0
1107,Ludie Eri,805.0
1108,Evily Evihut,805.0
1109,Jack Junkai Lin,804.9
1110,maxwell_ml,804.9
1111,THUNDER THUNDER,804.8
1112,sbite0138,804.7
1113,Blake Mosley,804.5
1114,Ohm Mingrath,804.5
1115,vkhydras,804.2
1116,v0m0v,804.1
1117,Amtull,804.1
1118,Soomana1z,803.9
1119,Growingduck,803.6
1120,bgsszsa,803.3
1121,kyuuuuro,803.0
1122,Ben Pepper,802.9
1123,Anvith Pothula,802.8
1124,yuki16,802.7
1125,Kunal Desale,802.7
1126,Mokuren Narisawa,802.5
1127,breso,802.2
1128,lingyundev,802.1
1129,ojicat,802.1
1130,Robson,801.9
1131,Sule-it,801.9
1132,K_daisuke,801.8
1133,taiga honda,801.7
1134,IIDA,801.7
1135,ancientLuck,801.5
1136,lcx666,801.5
1137,Takuto Nishimine,801.1
1138,Lemming,801.0
1139,Bigree,800.8
1140,zhang et al.,800.8
1141,Handudu,800.6
1142,Mooreom Wang,800.5
1143,Maximum Beltry,800.1
1144,PPO is useless,800.1
1145,tonakaiiii,800.0
1146,David Goldrajch,799.8
1147,Changye Li,799.6
1148,Kensuke Kurita,799.5
1149,jjakimoto,799.4
1150,GO HIROSHIMA 2,799.3
1151,ezreal77,799.0
1152,Sota Uchiyama,798.5
1153,DeeSaa,798.5
1154,ASH,798.5
1155,Aleksei Balandin,798.2
1156,Lucien de Rubempre,798.2
1157,PangMinShih,798.1
1158,OSELCOUN,797.8
1159,pokemon experts🙆‍♀️,797.7
1160,xthixsl_ml,797.4
1161,Hawk,797.4
1162,yuya,797.4
1163,presucc,797.3
1164,ごんさくよねきち,797.3
1165,foreveryl,797.2
1166,Zihe Henry Zhang,797.0
1167,K-Iwa_777,796.2
1168,Martina diane,796.2
1169,電気通信ポケモン大学,795.6
1170,Olegolas1,795.3
1171,KeineAhnung810975,795.3
1172,kmizunoster,795.2
1173,Yunioshi,795.2
1174,HongchenDai,795.2
1175,Malyshev Danil,795.1
1176,kurushun,795.1
1177,zhoujqi,795.0
1178,keteru,794.8
1179,Kazama Yusuke,794.8
1180,hpp sak,794.7
1181,PNGN,794.6
1182,Matteo Pintore,794.6
1183,pacific_diesel,794.5
1184,RamenBoy,794.2
1185,Aarin Sheth,794.0
1186,Marek Nurzynski,793.6
1187,qwertykeypadapple,793.5
1188,POKEDEMIA_ISSEI,793.5
1189,Tsubasa,793.4
1190,Akira-Ninth,793.0
1191,Rintaro Moriwaki,792.9
1192,Chong Pfeffer,792.9
1193,Misaka Mikoto,792.7
1194,Xunden,792.7
1195,ba,792.6
1196,grindstone,792.2
1197,srikalyan,792.1
1198,立て板に水,792.0
1199,aoi_sugawara,791.9
1200,nekomanma,791.9
1201,G_AGA,791.6
1202,Shunji Minode,791.4
1203,htatsumi,791.3
1204,Ali,791.3
1205,Apex Blue,791.2
1206,capbloo,791.1
1207,Vladislav Kolesov,791.0
1208,Stellaris123,790.9
1209,FightingBob,790.7
1210,haonan zhengh,790.7
1211,Yaro Perventsev,790.5
1212,xyz600,790.4
1213,SHR & Lithium,790.1
1214,Ueddy,790.0
1215,Fitzounet,790.0
1216,shini47,789.9
1217,Cabrera Consulting Group,789.7
1218,mutualns,789.5
1219,Aplish,789.5
1220,aoi1222,789.1
1221,Daisuke HOSHINA,789.0
1222,yukiyuti,789.0
1223,bin luo1,788.9
1224,Pixegami,788.9
1225,Team Pierogachu,788.9
1226,Rokaiya Somapti,788.5
1227,suzu10,788.4
1228,Ryuto Yoda,788.2
1229,bynpywm,788.1
1230,NecromanAlbert,788.1
1231,JJ,787.9
1232,ベイズVMAX,787.8
1233,lingheng,787.1
1234,Keiko San,787.1
1235,researcher_4242,787.0
1236,lilishyxf,786.7
1237,AZM,786.6
1238,Wobbuffet,786.5
1239,cqupt_sdq,786.4
1240,Star-mine,785.5
1241,xiaoxin01,785.4
1242,vadek,785.4
1243,yshymd,785.4
1244,korosh shokri,785.3
1245,今井大登,785.3
1246,klog,784.6
1247,nigenight,784.6
1248,Nikolas Silveira,783.9
1249,Shiyuanhe123,783.8
1250,kidekikish,783.6
1251,Yanis Belami,783.3
1252,Koki _1231,783.3
1253,ZJUwlm,783.2
1254,Ryan Shan,783.1
1255,PhiRogue,782.9
1256,MTL Agent,782.7
1257,Gracie,782.4
1258,Carroll Ma,782.4
1259,mitsuki,782.4
1260,ognoxyz,782.3
1261,watruri,782.1
1262,venks,782.1
1263,Terutora Tachibana,782.1
1264,Takumu Hata,781.5
1265,Kian Maghsoodi,781.4
1266,shintacs,781.3
1267,Filip Strzałka,781.2
1268,adakoda,781.2
1269,Koki Kawamura,781.1
1270,Aki Ogawa,780.6
1271,one vibe and one coding,780.4
1272,tomato414941,780.4
1273,Muhandro,780.4
1274,LunarLabs,780.4
1275,Dick Jessen William,780.3
1276,D.Minami802,779.7
1277,ばう,779.7
1278,Pavel Pavlov,779.7
1279,ygurar,779.6
1280,akr2428,779.3
1281,The Power of Dedenne,779.2
1282,Rahul Jiwane,779.1
1283,xloudmax,779.0
1284,Hong Dae Kim,778.8
1285,tellusium,778.7
1286,mty570,778.6
1287,BioMath,778.5
1288,MooDerEchte,778.4
1289,DaiHongLiang,778.2
1290,rakumo,778.0
1291,PRASHANT SHUKLA91,778.0
1292,John doe,777.6
1293,Nobu Kimura,777.4
1294,qi yun,777.4
1295,otani_ai_memo,777.3
1296,Ezra #2,777.2
1297,lingexiong,777.1
1298,LG,776.8
1299,Shoto,776.8
1300,TY0912,776.8
1301,genki toyama,776.6
1302,TaylarHerman,776.6
1303,Mr. Crowley,776.6
1304,Chiachii Liang,776.4
1305,PokeMasters,776.2
1306,ShoheiSaito,776.2
1307,Suzanne Ye,776.1
1308,grifth,775.9
1309,XujianyuShow,775.6
1310,Sanyam Jain,775.6
1311,S RＴmeg7,775.3
1312,sleeper,775.3
1313,PorterZhang,775.2
1314,東京みらいテック行政書士事務所,775.2
1315,Altar Buyukdogan,775.2
1316,RMatsugen,775.1
1317,Gerar Del Toro,775.1
1318,Dapp,774.9
1319,ML 愛好会,774.8
1320,atto pat,774.8
1321,BULBUL2DAO,774.6
1322,dingli su,774.3
1323,aurnik,774.2
1324,github/shepsci/kaggle-skill,774.2
1325,nori8774,774.2
1326,ffw0t0,774.0
1327,Jackylw,773.9
1328,Marc Maldonado Lorca,773.9
1329,Abdulatif Mahgoub,773.8
1330,Fakble 6,773.8
1331,Kazuhiro Masuyama,773.6
1332,tantk7,773.5
1333,skurita,773.5
1334,RK,773.3
1335,Pol,773.3
1336,dajiaohuang,773.3
1337,JosephMontana,772.9
1338,Shinichiro Yoshida,772.9
1339,chenpengyu603,772.5
1340,photunix,772.5
1341,hiro094,772.4
1342,nopoly1k,772.2
1343,kkkk,772.1
1344,실험용생쥐,772.0
1345,Ryan Adams,772.0
1346,sekken,771.9
1347,Marcben James Samuel,771.7
1348,3.14159265,771.7
1349,Yufeng,771.6
1350,HiroyukiSasaki,771.4
1351,打不过zen,771.4
1352,Twe Dyo,771.2
1353,maoyuan ma,771.0
1354,Takutsu,770.9
1355,Takuya Ando,770.9
1356,Camaro,770.6
1357,AKin,770.4
1358,miku kun,770.3
1359,Noma34x6773,770.1
1360,Legend Brothers,770.0
1361,chandler14362,769.9
1362,没落者,769.8
1363,kawanot,769.7
1364,Samrish B,769.6
1365,caprest,769.4
1366,LagrangianLocomotive,769.4
1367,The Drying Pole,769.4
1368,Mallard Duck,769.4
1369,KatoYui,769.4
1370,Bugis,769.3
1371,mackerel is all you need,768.7
1372,Yorukuma,768.6
1373,Runnel Zhang,768.3
1374,Edgar Silva R,768.3
1375,Kurokawa,767.8
1376,Leo Jeel,767.8
1377,InkCartridge,767.6
1378,bigdan7,767.3
1379,ryusei,767.2
1380,Yichi,767.2
1381,transdisciplinary,766.9
1382,Shun,766.9
1383,Sirui Zeng,766.8
1384,Michal,766.8
1385,Te Bus,766.7
1386,Toshiki Nishiyama,766.6
1387,Cloud,766.4
1388,Big Deck Energy,766.3
1389,Can Kural,766.3
1390,YT,766.2
1391,Mykhailo Kalus,766.2
1392,Zihao Zeng,765.8
1393,Akhil Chinta,765.7
1394,Furina,765.7
1395,malone001,765.7
1396,shibushun,765.7
1397,Ewart ML,765.6
1398,ちー,765.5
1399,sunako24d,765.4
1400,ykuroka,765.2
1401,xudonglaoxian,765.1
1402,CoCoSh,764.9
1403,Ishi-eenn,764.8
1404,HughTCG,764.7
1405,Daewoo Myoung,764.7
1406,vicbentu,764.7
1407,Kai_zuta,764.4
1408,ろう39,764.3
1409,Ushimaru,764.3
1410,Qsj,764.1
1411,すーぱーひとで,763.8
1412,Ryo Ochi,763.6
1413,haoran huang430,763.4
1414,taku_sid,763.3
1415,YSD Sei,763.1
1416,NIT_PokemonS,763.0
1417,laomei chen,762.9
1418,maximo lorenzo y losada,762.7
1419,zuoyinhan,762.6
1420,A M,762.3
1421,Yixi Sun,762.1
1422,Shunsuke Hayashi,761.6
1423,Abdul Wahab Khan,761.6
1424,WWAWW,761.4
1425,Exodia,761.4
1426,xfylll,761.3
1427,Hotaru dango,761.2
1428,Tys TANA,761.2
1429,Lindicaphxag,761.1
1430,田原,760.9
1431,NayuNayu,760.6
1432,roy,760.6
1433,Maulana Rafi,760.4
1434,codebeforework,760.3
1435,Botamochi,760.3
1436,Trainer Karl,760.2
1437,Prabhat kumar chanchal,760.1
1438,Le Trong Hieu,760.0
1439,SKMAAX,759.7
1440,Dmitry Volovikov,759.6
1441,ImANoob1122,759.4
1442,Rajan Nagarajan,759.3
1443,Hady Ibrahim,759.3
1444,Eastgooner,759.2
1445,notoverkil,759.2
1446,suzuki neko,759.1
1447,Minami-Sama,759.1
1448,masaume,759.0
1449,Kotaro Yamazaki,758.9
1450,Galactic Adminz,758.9
1451,N.Saito,758.8
1452,Ueda Kai,758.7
1453,tahi,758.7
1454,Mibbles' Lab,758.6
1455,Myckel Uribe,758.4
1456,gonbe,758.1
1457,たけまる,758.0
1458,John Augustine Young,757.8
1459,yt0914,757.6
1460,Santiago Jauregui,757.6
1461,pensukesan,757.6
1462,John Mitchell,757.3
1463,Takeshi Tanno,757.0
1464,DiT PTCG AK,756.9
1465,Alexandr Utkov,756.9
1466,ZQ Wen,756.8
1467,fizzmi,756.8
1468,Soruton,756.8
1469,tanako-,756.6
1470,Felipe Garcia,756.5
1471,sottnik,756.4
1472,Chellick,756.4
1473,Kers Aoyagi,756.3
1474,shu8Cream,755.6
1475,JmpM,755.4
1476,AnSuSu,755.2
1477,JackGong,755.1
1478,firstbreak32,755.1
1479,Aqib Javed,755.1
1480,海月~,755.0
1481,yuyinghuang,755.0
1482,hikaru_ishihara46,754.9
1483,Piiikapika,754.8
1484,BrannerFC,754.6
1485,CuriousWayfarer,754.5
1486,DiuDiu,754.2
1487,Andrey01452,754.1
1488,yesterdays_rebel,754.1
1489,lisi999test,753.8
1490,roc,753.8
1491,Shigu Marimo,753.8
1492,tarakobasuta,753.7
1493,jp_nerdery,753.6
1494,niyo,753.5
1495,JB,753.4
1496,Ikki Katsuyama,753.3
1497,Jack Labs,753.2
1498,Hrishikesh Dhuri,753.2
1499,XIAODOUZI,753.1
1500,Parth Thakker,753.1
1501,LP,752.9
1502,zhexun Liu,752.9
1503,Eli_Zohar_BIU,752.8
1504,Case Seller,752.8
1505,Timbo615,752.4
1506,Haye Cillia,752.4
1507,Napier1550,752.4
1508,Na Ve Ba,752.1
1509,Parth Raj Purohit,752.1
1510,PhN01,751.8
1511,Gakutei Yuuna,751.8
1512,sanju25,751.7
1513,ibyyue,751.4
1514,taku_Kuma,751.2
1515,mimi,751.1
1516,suzuna0831,751.1
1517,Shuichi Fushimi,751.0
1518,Suzuki Mari,750.9
1519,RairoRapha,750.9
1520,TOSS,750.9
1521,dddmd,750.8
1522,hanhan761,750.7
1523,xinwang,750.7
1524,noikaret,750.6
1525,Loss Volos,750.6
1526,Seine A. Shintani,750.4
1527,TCGFlow,750.4
1528,みがわり,750.4
1529,Takuma Sakamoto,750.3
1530,nicepi,750.3
1531,Kyota,750.2
1532,Tsuyoshi Hitoe,750.0
1533,Ayush Thakur,750.0
1534,Hải Đăng,749.9
1535,CaminoLSY,749.6
1536,koumiyata,749.4
1537,kaito yama,749.4
1538,TakamaruEX,749.3
1539,tereka,749.3
1540,Ryosei Kojima,749.3
1541,火箭队,749.2
1542,LastPrice,749.2
1543,Rufeng Toxins,749.2
1544,NaNomin,749.1
1545,Hamachi,748.9
1546,YKumazaki,748.8
1547,Arunendratripathi_03,748.8
1548,tadhase,748.8
1549,thisray,748.8
1550,colt,748.6
1551,apat1n,748.6
1552,Xiangjiang Zhou,748.6
1553,YusukeMorimoto,748.4
1554,hangglider5,748.4
1555,Davide,747.4
1556,minpoke,747.4
1557,Biel Escola Rodrigo,747.3
1558,KuroNeko_Game_Club,747.2
1559,mhiro2,747.2
1560,Cascade Matrix,747.1
1561,gngnher,747.0
1562,Maxim,747.0
1563,Yuu K,746.9
1564,LI YIYANG829,746.7
1565,goodpjw2008,746.5
1566,taopi liu,746.4
1567,erdanieee,746.3
1568,Mafaalu,746.3
1569,Keisuke,746.3
1570,Aristotle.Chen,746.3
1571,Yixuan Yang,746.2
1572,KHira,746.1
1573,Isao,746.0
1574,Hiromichi NOMATA,745.9
1575,かーーき,745.9
1576,SIVA S,745.9
1577,shu-piplup,745.5
1578,Victor Gonzalez,745.4
1579,kokinnwakashuu,745.4
1580,Vaibhav Gupta,745.3
1581,Hritik Arasu,745.3
1582,Coşkun Bağrıaçık,745.2
1583,Hikaru Umeda,744.9
1584,César Adrián Delgado Díaz,744.8
1585,Real Greninjas,744.8
1586,Milkomeda,744.8
1587,backstona,744.7
1588,Quasar,744.7
1589,LiquidAmmonia1999,744.6
1590,Janglish,744.5
1591,VUYAKA NAVIN KUMAR ,744.4
1592,Shangshang Zhang,744.3
1593,Flyfish666,744.1
1594,TsuMakoto,744.0
1595,half pizza,744.0
1596,Pami_loveDL,744.0
1597,Mote Zhuang,743.9
1598,clawspark,743.9
1599,kumk,743.9
1600,M_Murata,743.6
1601,AlanXM,743.6
1602,Dariush Afshar,743.5
1603,Endyu Ma,743.3
1604,PokeBot,743.2
1605,TeamSCSQ(チームスクスク),743.1
1606,Sam Branham,743.1
1607,JEF UNITED CHIBA,743.0
1608,Psychic Genesis,743.0
1609,Vlas Veles,742.9
1610,lucaboy,742.8
1611,aisamhottman,742.8
1612,Koki Funahashi,742.7
1613,Mateusz Pawełczuk,742.7
1614,Minchul Shin,742.5
1615,ﾖﾈｸﾗ ﾃﾝｾｲne251225,742.5
1616,SunSeeker染汐,742.4
1617,SO0529,742.4
1618,Brady Meighan,742.2
1619,赤ちゃんクマ,742.1
1620,Psy Duck,742.0
1621,Ryan Offstein,741.9
1622,Dr_F,741.9
1623,Tia_Stella,741.7
1624,Ai_1asy0525,741.5
1625,Nicolai Johannesen 73,741.0
1626,WinsYan,741.0
1627,jrubiosainz,740.5
1628,MeeMee,740.3
1629,nonpapa,740.3
1630,みずあめ,740.3
1631,icelemon2004,740.0
1632,sangmin7b,739.9
1633,sea8gull,739.9
1634,Charles A Herbst,739.9
1635,Zhou Songyu,739.8
1636,James Idriss,739.7
1637,Nick Styles,739.6
1638,banana,739.6
1639,taka0808,739.5
1640,zunzun_ikouze,739.5
1641,nekokaeru,739.5
1642,Youssef EL MSIYAH,739.4
1643,DevAIL,739.4
1644,KenPTCG,739.4
1645,Charmander,739.3
1646,humita,739.3
1647,Brendan Gho,739.0
1648,Alan Scott Encinas,739.0
1649,Jared Floersch,739.0
1650,Alberto Mocchi,738.9
1651,Rachelton,738.9
1652,MamiMamiko,738.8
1653,Dan Martin111,738.8
1654,DARSIC-261614,738.7
1655,Samus,738.6
1656,Yugoawawa,738.6
1657,Milind Choudhary,738.6
1658,Gena,738.5
1659,Kamal Das,738.4
1660,shahram,738.3
1661,Aaron Samuel,738.3
1662,Untitled-0,738.2
1663,apetresc,738.2
1664,born,738.1
1665,EneCloud,738.1
1666,Ishraq Tanvir,738.0
1667,BOOM,738.0
1668,Madiyar Khamzanov,738.0
1669,Kengo Yoko,737.9
1670,GrossmanLabs,737.8
1671,Abdelghani Belgaid,737.8
1672,Full House,737.8
1673,kaito ide 31,737.7
1674,gtansu,737.7
1675,Ardell Aghna Mahendra,737.4
1676,yyy yyy,737.4
1677,Kasasree Google,737.3
1678,Tom Yim,737.3
1679,Xu Suyi,737.3
1680,RICCARDO FORTE,737.2
1681,anngle,737.1
1682,Ryoya Kochiyma,737.0
1683,Gowtham,736.9
1684,Toru59er,736.7
1685,Sergei,736.6
1686,Sheila Juliana,736.6
1687,Ingyun Ahn,736.4
1688,persn,736.3
1689,Eric Wu,736.2
1690,taiyoooo,736.2
1691,Ni123456&,736.0
1692,怒破餓鬼,736.0
1693,yatosa,735.9
1694,Liang Wan Yiu David ,735.9
1695,clouds111,735.9
1696,tatt:)ch,735.7
1697,Atomu Naka,735.7
1698,aidy,735.6
1699,kawauso9n,735.6
1700,Egbert5256,735.2
1701,alessandrozonta,735.1
1702,LYilun,735.1
1703,GoodSmell,735.0
1704,k hori ,734.9
1705,Nishant Dahal,734.9
1706,Sai Syam,734.9
1707,kinotako,734.8
1708,l2658183739,734.7
1709,k12hirano,734.7
1710,koucha,734.6
1711,asdwswdxd,734.4
1712,Sailor Ren,734.4
1713,HongyuChen123321,734.1
1714,Abiram Bharathi S.A,734.0
1715,kisamaki0815,733.9
1716,Masashi Nishimoto,733.8
1717,hibikisato0413,733.8
1718,Konichiwa,733.7
1719,Meet Parekh,733.6
1720,THE TORQUE WRENCHES,733.6
1721,Heitor Westphal,733.5
1722,Alex,733.5
1723,Zac Plischka,733.5
1724,Kyles Light,733.4
1725,Akira Hirohashi,733.4
1726,Ilan Schapira,733.3
1727,xiao long745,733.1
1728,Chuten Technology Inc,732.8
1729,CCoffie,732.8
1730,Hellboy,732.8
1731,key4127,732.7
1732,CYLik,732.5
1733,HAL TCG Dojo,732.4
1734,MAC,732.2
1735,zzx Hee,732.2
1736,Gleb (i-aztec),732.2
1737,rauminoodles,732.1
1738,DX Cao,732.0
1739,wayyyyyyy,731.9
1740,Bruce Zheng,731.8
1741,Affan,731.7
1742,Nana Ma,731.5
1743,Dasinu,731.4
1744,Piplup Squad,731.3
1745,ebikazuki,731.3
1746,AliLucky,731.1
1747,Anjana mohan,730.9
1748,Farhan Abid,730.7
1749,JingSong Yang,730.7
1750,TA,730.6
1751,xiaocidontrun,730.6
1752,yq line,730.6
1753,joongyong,730.6
1754,Siddhuuu101,730.4
1755,victor,730.3
1756,Kucing Garong,730.3
1757,Xinpeng Bei,730.3
1758,江东,730.2
1759,qiuqiu,730.2
1760,Rishav Sanjay,730.2
1761,s@sak1,730.0
1762,kglctf,730.0
1763,Zarkys,729.9
1764,coolin666,729.9
1765,julymarc,729.8
1766,Lukas Ogiermann,729.8
1767,felipe9695,729.8
1768,Yoshiki Okayama,729.8
1769,Ryota1216,729.8
1770,Nithin maktha,729.7
1771,waticson,729.7
1772,InformaBook2,729.6
1773,Small shrimp in the rivers and lakes,729.5
1774,Yong Ming-Jia,729.5
1775,teem,729.2
1776,Лукин Алексей,729.2
1777,kkj333,729.1
1778,wingsyuyi-satori,729.1
1779,Poke The Mon,729.0
1780,haruki nishio,729.0
1781,Shinozaki Yuuki,728.9
1782,yu lesui,728.9
1783,Pillip Youn,728.9
1784,Mao Nishino (mao1756),728.8
1785,Pilkwang Kim,728.8
1786,ra5anchor,728.8
1787,Sadettin Şamil Verdil,728.8
1788,N,728.7
1789,santa9150,728.6
1790,Sally777777,728.5
1791,jorge fabian avila,728.5
1792,H IMedit,728.5
1793,wsdsby,728.4
1794,yomogi mochi,728.4
1795,Tyler H,728.2
1796,saishivan,728.2
1797,Kao0207,728.1
1798,Locomorange,728.0
1799,進め！きぺお隊長,727.7
1800,ETphonehome3876,727.4
1801,Karthik,727.3
1802,minfaox3,727.3
1803,kaitle,727.3
1804,変化の書ゾロアーク,727.2
1805,Imamu,727.2
1806,Substitute99,727.2
1807,Hhhhhhhh15,727.1
1808,SK Arin,727.0
1809,Shinchan,726.8
1810,antimaterial,726.7
1811,jongyoon,726.7
1812,AyushmanKumar819,726.6
1813,fumiya utsuno,726.5
1814,elrapido,726.5
1815,daiki_H,726.5
1816,Unicorn,726.5
1817,kabu strongest legend,726.2
1818,yamasaKit,726.2
1819,xin782,726.2
1820,Cem Orhan,726.1
1821,ankounabe114,726.0
1822,Mikhail,725.9
1823,Nat00,725.8
1824,ゾロアホゲータカポエラーホエルオーヒトモシ,725.8
1825,数学の山田,725.8
1826,DrFranklinH,725.6
1827,まさやん,725.5
1828,luckyappley,725.4
1829,Mosamosa,725.2
1830,kenta matsumoto,725.1
1831,Owen Singh,725.1
1832,stars_w,724.9
1833,Japanese Kaggle Newbie,724.9
1834,Y-Kitaro,724.7
1835,trickstar,724.5
1836,Justin Kimlim,724.5
1837,HayatoFujihara,724.5
1838,Bektursyn Shaimerden,724.5
1839,gagacrow,724.3
1840,Joe Chapa,724.3
1841,qliqian,724.3
1842,Philipp Thoss,724.3
1843,PALTCG,724.2
1844,nk35jk,724.2
1845,Oddball45000,724.1
1846,Valmorlee,723.9
1847,ShumingFang,723.9
1848,Aryan Yadav,723.8
1849,hiro #2,723.7
1850,gurene-do,723.6
1851,sqrt4kaido,723.5
1852,Hinakokko,723.4
1853,Masato_Hidaka,723.4
1854,shigengtian,723.3
1855,chenxi,723.2
1856,menace369,723.2
1857,Paris404,723.2
1858,Seungmin Ha,723.1
1859,Kazuta MIZUTA,723.1
1860,Jules,723.1
1861,Omniscience,722.9
1862,m333studio,722.9
1863,chaojiwudiwujie,722.9
1864,OBS$E$SED,722.8
1865,Abdalrahman mohamed,722.6
1866,Sohangkumar Patel,722.6
1867,Luo,722.2
1868,renta.k,722.1
1869,OKA,722.0
1870,ノノノノノノノノ,722.0
1871,For Good Measure,722.0
1872,Spartan1925,722.0
1873,RyanHo,721.9
1874,想想偶像怎么做,721.9
1875,hongan,721.8
1876,Hassan Alghamoudi,721.8
1877,mintBomber,721.7
1878,SHUBHOJIT NASKAR,721.7
1879,tototo,721.5
1880,kojimari,721.5
1881,QAQA,721.2
1882,Mando,721.1
1883,suwat513,721.1
1884,Clawdfred,721.0
1885,Ming Fong,720.9
1886,secchanu,720.7
1887,minoneru,720.5
1888,Adi Kusuma,720.4
1889,georgexue666,720.4
1890,Munshi-PremChand,720.2
1891,astriarty,720.1
1892,Gotem Penguin,719.9
1893,silver medal hot pursuit,719.9
1894,DI27 RF,719.8
1895,キーウィ,719.7
1896,Dewei Chen,719.6
1897,CUG HeQiao,719.6
1898,Дворкин Евгений Владимирович,719.5
1899,Bharath Velamala,719.5
1900,Tanabe Yudai,719.5
1901,ぶれめか,719.4
1902,shmoney,719.4
1903,blue0620,719.4
1904,Oliver Wang,719.2
1905,andayougui,719.1
1906,Shintaro Watanabe,719.1
1907,Chattso-GPT (Yasuhito Yanagisawa),718.7
1908,tree_zzmmmrrrr,718.5
1909,LosiSt,718.5
1910,を,718.4
1911,happyunhappy,718.3
1912,atc,718.3
1913,Zhen Li,718.3
1914,TTU Thome,718.2
1915,Alvee Ahnaf,718.2
1916,DeemoTeemo,718.1
1917,Just a gorilla,718.1
1918,ALKRIS,718.1
1919,anthonychiang000,718.0
1920,Binghui Xu,718.0
1921,kyoumonemui,717.9
1922,alvinwnguyen,717.8
1923,Choruru,717.7
1924,Brian Naff,717.7
1925,gabrielep09,717.7
1926,Michael Krager,717.6
1927,好吃的台灣拉麵,717.5
1928,prokiller777,717.4
1929,lyee,717.4
1930,vreamartins,717.2
1931,Sujith Kumar Sashikanth,717.1
1932,M093.jp,717.0
1933,Seong-Min Park,717.0
1934,Riku Suzuki,716.8
1935,kekuru,716.8
1936,MaybeIcanShow,716.7
1937,Felis,716.7
1938,Changdao Chen,716.6
1939,Luminousci,716.6
1940,MS-05 ざこ,716.3
1941,Team_Rocket,716.3
1942,joicygiore,716.3
1943,LookingIN97,716.2
1944,ryoya,716.2
1945,holyholy,716.1
1946,guzus,716.1
1947,Kazuya Hirose,715.9
1948,endederwelt0419,715.9
1949,https://sunnyinspires.com/,715.7
1950,antrikshrsi,715.6
1951,yuuyo-arobet,715.5
1952,P.J Leek,715.3
1953,Rahul Sharma,715.3
1954,Alvin Li,715.2
1955,Rn86222,715.2
1956,Dhruv Bansal,715.1
1957,大澤直明,715.1
1958,Khaledalnuaimi,715.0
1959,Mr Aura,715.0
1960,HOUSEI Inc.,715.0
1961,kosumo77,714.9
1962,nobker,714.9
1963,Masahiko Matsui,714.9
1964,kuu🍣,714.8
1965,kokatsu,714.7
1966,Mih Zam,714.7
1967,kouki1227,714.7
1968,Aman Arora,714.6
1969,argon-nyango,714.6
1970,pipi14ramu,714.6
1971,杉原佑季,714.5
1972,jaehwan02,714.5
1973,Orion Forge,714.4
1974,Ahad Khan,714.4
1975,三天,714.4
1976,dijia zhang735,714.3
1977,Shoya Taguchi,714.3
1978,shallowfieldagon,714.3
1979,Kohenyan,714.2
1980,养猪小能手,714.1
1981,gakutomo,714.0
1982,Ross Sponholtz,713.9
1983,datnt114,713.8
1984,TomJ286991,713.7
1985,Bulat Latypov,713.6
1986,Hiểu Vy,713.5
1987,Yongze Lin,713.5
1988,Noor,713.5
1989,Louis-Philippe Thibault,713.5
1990,Manat,713.3
1991,kenfuku,713.3
1992,yiyu0716,713.3
1993,Chen Xiner,713.0
1994,mojao,712.9
1995,SAKB,712.9
1996,akahane,712.9
1997,Bright O.H.,712.8
1998,Void_Rune,712.8
1999,azuma haruki,712.8
2000,萤火2018,712.7
2001,TAKESHI7676,712.5
2002,galaxy2025,712.5
2003,Tilak Varma,712.4
2004,infamemconculcemus,712.4
2005,Shiva,712.4
2006,xiaoxin zhao,712.4
