w0: 200/25000 games, 24s (0.118s/game)
w0: 400/25000 games, 49s (0.123s/game)
w0: 600/25000 games, 75s (0.124s/game)
w0: 800/25000 games, 99s (0.124s/game)
w0: 1000/25000 games, 122s (0.122s/game)
w0: 1200/25000 games, 146s (0.122s/game)
w0: 1400/25000 games, 170s (0.122s/game)
w0: 1600/25000 games, 194s (0.121s/game)
w0: 1800/25000 games, 218s (0.121s/game)
w0: 2000/25000 games, 242s (0.121s/game)
w0: 2200/25000 games, 267s (0.121s/game)
w0: 2400/25000 games, 291s (0.121s/game)
w0: 2600/25000 games, 315s (0.121s/game)
w0: 2800/25000 games, 339s (0.121s/game)
w0: 3000/25000 games, 363s (0.121s/game)
w0: 3200/25000 games, 387s (0.121s/game)
w0: 3400/25000 games, 410s (0.121s/game)
w0: 3600/25000 games, 434s (0.120s/game)
w0: 3800/25000 games, 457s (0.120s/game)
w0: 4000/25000 games, 481s (0.120s/game)
w0: 4200/25000 games, 505s (0.120s/game)
w0: 4400/25000 games, 529s (0.120s/game)
w0: 4600/25000 games, 553s (0.120s/game)
w0: 4800/25000 games, 577s (0.120s/game)
w0: 5000/25000 games, 600s (0.120s/game)
w0: 5200/25000 games, 625s (0.120s/game)
w0: 5400/25000 games, 649s (0.120s/game)
w0: 5600/25000 games, 673s (0.120s/game)
w0: 5800/25000 games, 697s (0.120s/game)
w0: 6000/25000 games, 720s (0.120s/game)
w0: 6200/25000 games, 744s (0.120s/game)
w0: 6400/25000 games, 767s (0.120s/game)
w0: 6600/25000 games, 790s (0.120s/game)
w0: 6800/25000 games, 816s (0.120s/game)
w0: 7000/25000 games, 841s (0.120s/game)
w0: 7200/25000 games, 865s (0.120s/game)
w0: 7400/25000 games, 888s (0.120s/game)
w0: 7600/25000 games, 912s (0.120s/game)
w0: 7800/25000 games, 935s (0.120s/game)
w0: 8000/25000 games, 962s (0.120s/game)
w0: 8200/25000 games, 987s (0.120s/game)
w0: 8400/25000 games, 1011s (0.120s/game)
w0: 8600/25000 games, 1035s (0.120s/game)
w0: 8800/25000 games, 1058s (0.120s/game)
w0: 9000/25000 games, 1082s (0.120s/game)
w0: 9200/25000 games, 1139s (0.124s/game)
w0: 9400/25000 games, 1164s (0.124s/game)
w0: 9600/25000 games, 1187s (0.124s/game)
w0: 9800/25000 games, 1210s (0.124s/game)
w0: 10000/25000 games, 1233s (0.123s/game)
w0: 10200/25000 games, 1256s (0.123s/game)
w0: 10400/25000 games, 1280s (0.123s/game)
w0: 10600/25000 games, 1303s (0.123s/game)
w0: 10800/25000 games, 1328s (0.123s/game)
w0: 11000/25000 games, 1351s (0.123s/game)
w0: 11200/25000 games, 1374s (0.123s/game)
w0: 11400/25000 games, 1398s (0.123s/game)
w0: 11600/25000 games, 1422s (0.123s/game)
w0: 11800/25000 games, 1445s (0.122s/game)
w0: 12000/25000 games, 1468s (0.122s/game)
w0: 12200/25000 games, 1491s (0.122s/game)
w0: 12400/25000 games, 1515s (0.122s/game)
w0: 12600/25000 games, 1539s (0.122s/game)
w0: 12800/25000 games, 1564s (0.122s/game)
w0: 13000/25000 games, 1587s (0.122s/game)
w0: 13200/25000 games, 1611s (0.122s/game)
w0: 13400/25000 games, 1635s (0.122s/game)
w0: 13600/25000 games, 1659s (0.122s/game)
w0: 13800/25000 games, 1683s (0.122s/game)
w0: 14000/25000 games, 1706s (0.122s/game)
w0: 14200/25000 games, 1729s (0.122s/game)
w0: 14400/25000 games, 1752s (0.122s/game)
w0: 14600/25000 games, 1775s (0.122s/game)
