w2: 200/25000 games, 21s (0.103s/game)
w2: 400/25000 games, 40s (0.101s/game)
w2: 600/25000 games, 62s (0.104s/game)
w2: 800/25000 games, 85s (0.106s/game)
w2: 1000/25000 games, 109s (0.109s/game)
w2: 1200/25000 games, 132s (0.110s/game)
w2: 1400/25000 games, 155s (0.111s/game)
w2: 1600/25000 games, 178s (0.111s/game)
w2: 1800/25000 games, 203s (0.113s/game)
w2: 2000/25000 games, 226s (0.113s/game)
w2: 2200/25000 games, 248s (0.113s/game)
w2: 2400/25000 games, 270s (0.113s/game)
w2: 2600/25000 games, 295s (0.114s/game)
w2: 2800/25000 games, 319s (0.114s/game)
w2: 3000/25000 games, 341s (0.114s/game)
w2: 3200/25000 games, 365s (0.114s/game)
w2: 3400/25000 games, 387s (0.114s/game)
w2: 3600/25000 games, 413s (0.115s/game)
w2: 3800/25000 games, 438s (0.115s/game)
w2: 4000/25000 games, 466s (0.117s/game)
w2: 4200/25000 games, 489s (0.117s/game)
w2: 4400/25000 games, 514s (0.117s/game)
w2: 4600/25000 games, 538s (0.117s/game)
w2: 4800/25000 games, 562s (0.117s/game)
w2: 5000/25000 games, 586s (0.117s/game)
w2: 5200/25000 games, 612s (0.118s/game)
w2: 5400/25000 games, 638s (0.118s/game)
w2: 5600/25000 games, 661s (0.118s/game)
w2: 5800/25000 games, 684s (0.118s/game)
w2: 6000/25000 games, 708s (0.118s/game)
w2: 6200/25000 games, 732s (0.118s/game)
w2: 6400/25000 games, 757s (0.118s/game)
w2: 6600/25000 games, 784s (0.119s/game)
w2: 6800/25000 games, 808s (0.119s/game)
w2: 7000/25000 games, 833s (0.119s/game)
w2: 7200/25000 games, 858s (0.119s/game)
w2: 7400/25000 games, 882s (0.119s/game)
w2: 7600/25000 games, 905s (0.119s/game)
w2: 7800/25000 games, 929s (0.119s/game)
w2: 8000/25000 games, 952s (0.119s/game)
w2: 8200/25000 games, 976s (0.119s/game)
w2: 8400/25000 games, 1000s (0.119s/game)
w2: 8600/25000 games, 1024s (0.119s/game)
w2: 8800/25000 games, 1050s (0.119s/game)
w2: 9000/25000 games, 1074s (0.119s/game)
w2: 9200/25000 games, 1098s (0.119s/game)
w2: 9400/25000 games, 1122s (0.119s/game)
w2: 9600/25000 games, 1146s (0.119s/game)
w2: 9800/25000 games, 1171s (0.120s/game)
w2: 10000/25000 games, 1196s (0.120s/game)
w2: 10200/25000 games, 1220s (0.120s/game)
w2: 10400/25000 games, 1244s (0.120s/game)
w2: 10600/25000 games, 1267s (0.120s/game)
w2: 10800/25000 games, 1292s (0.120s/game)
w2: 11000/25000 games, 1316s (0.120s/game)
w2: 11200/25000 games, 1340s (0.120s/game)
w2: 11400/25000 games, 1364s (0.120s/game)
w2: 11600/25000 games, 1389s (0.120s/game)
w2: 11800/25000 games, 1413s (0.120s/game)
w2: 12000/25000 games, 1438s (0.120s/game)
w2: 12200/25000 games, 1461s (0.120s/game)
w2: 12400/25000 games, 1485s (0.120s/game)
w2: 12600/25000 games, 1509s (0.120s/game)
w2: 12800/25000 games, 1533s (0.120s/game)
w2: 13000/25000 games, 1557s (0.120s/game)
w2: 13200/25000 games, 1580s (0.120s/game)
w2: 13400/25000 games, 1604s (0.120s/game)
w2: 13600/25000 games, 1630s (0.120s/game)
w2: 13800/25000 games, 1653s (0.120s/game)
w2: 14000/25000 games, 1676s (0.120s/game)
w2: 14200/25000 games, 1699s (0.120s/game)
w2: 14400/25000 games, 1722s (0.120s/game)
w2: 14600/25000 games, 1746s (0.120s/game)
w2: 14800/25000 games, 1771s (0.120s/game)
w2: 15000/25000 games, 1795s (0.120s/game)
w2: 15200/25000 games, 1818s (0.120s/game)
w2: 15400/25000 games, 1843s (0.120s/game)
w2: 15600/25000 games, 1868s (0.120s/game)
w2: 15800/25000 games, 1893s (0.120s/game)
w2: 16000/25000 games, 1920s (0.120s/game)
w2: 16200/25000 games, 1945s (0.120s/game)
w2: 16400/25000 games, 1968s (0.120s/game)
w2: 16600/25000 games, 1993s (0.120s/game)
w2: 16800/25000 games, 2017s (0.120s/game)
w2: 17000/25000 games, 2042s (0.120s/game)
w2: 17200/25000 games, 2067s (0.120s/game)
w2: 17400/25000 games, 2092s (0.120s/game)
w2: 17600/25000 games, 2116s (0.120s/game)
w2: 17800/25000 games, 2140s (0.120s/game)
w2: 18000/25000 games, 2163s (0.120s/game)
w2: 18200/25000 games, 2187s (0.120s/game)
w2: 18400/25000 games, 2212s (0.120s/game)
w2: 18600/25000 games, 2236s (0.120s/game)
w2: 18800/25000 games, 2261s (0.120s/game)
w2: 19000/25000 games, 2286s (0.120s/game)
w2: 19200/25000 games, 2310s (0.120s/game)
w2: 19400/25000 games, 2335s (0.120s/game)
w2: 19600/25000 games, 2359s (0.120s/game)
w2: 19800/25000 games, 2384s (0.120s/game)
w2: 20000/25000 games, 2408s (0.120s/game)
w2: 20200/25000 games, 2432s (0.120s/game)
w2: 20400/25000 games, 2455s (0.120s/game)
w2: 20600/25000 games, 2479s (0.120s/game)
w2: 20800/25000 games, 2503s (0.120s/game)
w2: 21000/25000 games, 2526s (0.120s/game)
w2: 21200/25000 games, 2552s (0.120s/game)
w2: 21400/25000 games, 2576s (0.120s/game)
w2: 21600/25000 games, 2600s (0.120s/game)
w2: 21800/25000 games, 2623s (0.120s/game)
w2: 22000/25000 games, 2647s (0.120s/game)
w2: 22200/25000 games, 2673s (0.120s/game)
w2: 22400/25000 games, 2696s (0.120s/game)
w2: 22600/25000 games, 2720s (0.120s/game)
w2: 22800/25000 games, 2743s (0.120s/game)
w2: 23000/25000 games, 2768s (0.120s/game)
w2: 23200/25000 games, 2792s (0.120s/game)
w2: 23400/25000 games, 2815s (0.120s/game)
w2: 23600/25000 games, 2838s (0.120s/game)
w2: 23800/25000 games, 2862s (0.120s/game)
w2: 24000/25000 games, 2885s (0.120s/game)
w2: 24200/25000 games, 2908s (0.120s/game)
w2: 24400/25000 games, 2932s (0.120s/game)
w2: 24600/25000 games, 2956s (0.120s/game)
w2: 24800/25000 games, 2977s (0.120s/game)
w2 DONE: 24818 games -> /home/jun/kaggle-ptcg-ai-battle/workspace/exp032_valuescale/data/rows_w2.csv
