w3: 200/25000 games, 23s (0.116s/game)
w3: 400/25000 games, 49s (0.123s/game)
w3: 600/25000 games, 74s (0.123s/game)
w3: 800/25000 games, 98s (0.122s/game)
w3: 1000/25000 games, 123s (0.123s/game)
w3: 1200/25000 games, 147s (0.122s/game)
w3: 1400/25000 games, 171s (0.122s/game)
w3: 1600/25000 games, 195s (0.122s/game)
w3: 1800/25000 games, 218s (0.121s/game)
w3: 2000/25000 games, 243s (0.122s/game)
w3: 2200/25000 games, 268s (0.122s/game)
w3: 2400/25000 games, 293s (0.122s/game)
w3: 2600/25000 games, 317s (0.122s/game)
w3: 2800/25000 games, 340s (0.121s/game)
w3: 3000/25000 games, 363s (0.121s/game)
w3: 3200/25000 games, 386s (0.121s/game)
w3: 3400/25000 games, 410s (0.121s/game)
w3: 3600/25000 games, 433s (0.120s/game)
w3: 3800/25000 games, 456s (0.120s/game)
w3: 4000/25000 games, 479s (0.120s/game)
w3: 4200/25000 games, 503s (0.120s/game)
w3: 4400/25000 games, 526s (0.120s/game)
w3: 4600/25000 games, 553s (0.120s/game)
w3: 4800/25000 games, 577s (0.120s/game)
w3: 5000/25000 games, 601s (0.120s/game)
w3: 5200/25000 games, 624s (0.120s/game)
w3: 5400/25000 games, 648s (0.120s/game)
w3: 5600/25000 games, 671s (0.120s/game)
w3: 5800/25000 games, 695s (0.120s/game)
w3: 6000/25000 games, 719s (0.120s/game)
w3: 6200/25000 games, 744s (0.120s/game)
w3: 6400/25000 games, 768s (0.120s/game)
w3: 6600/25000 games, 791s (0.120s/game)
w3: 6800/25000 games, 816s (0.120s/game)
w3: 7000/25000 games, 839s (0.120s/game)
w3: 7200/25000 games, 863s (0.120s/game)
w3: 7400/25000 games, 887s (0.120s/game)
w3: 7600/25000 games, 911s (0.120s/game)
w3: 7800/25000 games, 934s (0.120s/game)
w3: 8000/25000 games, 957s (0.120s/game)
w3: 8200/25000 games, 982s (0.120s/game)
w3: 8400/25000 games, 1006s (0.120s/game)
w3: 8600/25000 games, 1030s (0.120s/game)
w3: 8800/25000 games, 1054s (0.120s/game)
w3: 9000/25000 games, 1077s (0.120s/game)
w3: 9200/25000 games, 1135s (0.123s/game)
w3: 9400/25000 games, 1158s (0.123s/game)
w3: 9600/25000 games, 1182s (0.123s/game)
w3: 9800/25000 games, 1206s (0.123s/game)
w3: 10000/25000 games, 1229s (0.123s/game)
w3: 10200/25000 games, 1255s (0.123s/game)
w3: 10400/25000 games, 1278s (0.123s/game)
w3: 10600/25000 games, 1301s (0.123s/game)
w3: 10800/25000 games, 1326s (0.123s/game)
w3: 11000/25000 games, 1350s (0.123s/game)
w3: 11200/25000 games, 1373s (0.123s/game)
w3: 11400/25000 games, 1396s (0.122s/game)
w3: 11600/25000 games, 1420s (0.122s/game)
w3: 11800/25000 games, 1443s (0.122s/game)
w3: 12000/25000 games, 1467s (0.122s/game)
w3: 12200/25000 games, 1492s (0.122s/game)
w3: 12400/25000 games, 1516s (0.122s/game)
w3: 12600/25000 games, 1540s (0.122s/game)
w3: 12800/25000 games, 1563s (0.122s/game)
w3: 13000/25000 games, 1586s (0.122s/game)
w3: 13200/25000 games, 1609s (0.122s/game)
w3: 13400/25000 games, 1633s (0.122s/game)
w3: 13600/25000 games, 1656s (0.122s/game)
w3: 13800/25000 games, 1682s (0.122s/game)
w3: 14000/25000 games, 1705s (0.122s/game)
w3: 14200/25000 games, 1729s (0.122s/game)
w3: 14400/25000 games, 1752s (0.122s/game)
w3: 14600/25000 games, 1775s (0.122s/game)
w3: 14800/25000 games, 1799s (0.122s/game)
w3: 15000/25000 games, 1822s (0.121s/game)
w3: 15200/25000 games, 1845s (0.121s/game)
w3: 15400/25000 games, 1868s (0.121s/game)
w3: 15600/25000 games, 1892s (0.121s/game)
w3: 15800/25000 games, 1916s (0.121s/game)
w3: 16000/25000 games, 1940s (0.121s/game)
w3: 16200/25000 games, 1963s (0.121s/game)
w3: 16400/25000 games, 1986s (0.121s/game)
w3: 16600/25000 games, 2010s (0.121s/game)
w3: 16800/25000 games, 2033s (0.121s/game)
w3: 17000/25000 games, 2056s (0.121s/game)
w3: 17200/25000 games, 2080s (0.121s/game)
w3: 17400/25000 games, 2104s (0.121s/game)
w3: 17600/25000 games, 2128s (0.121s/game)
w3: 17800/25000 games, 2152s (0.121s/game)
w3: 18000/25000 games, 2175s (0.121s/game)
w3: 18200/25000 games, 2199s (0.121s/game)
w3: 18400/25000 games, 2222s (0.121s/game)
w3: 18600/25000 games, 2246s (0.121s/game)
w3: 18800/25000 games, 2272s (0.121s/game)
w3: 19000/25000 games, 2296s (0.121s/game)
w3: 19200/25000 games, 2320s (0.121s/game)
w3: 19400/25000 games, 2344s (0.121s/game)
w3: 19600/25000 games, 2368s (0.121s/game)
w3: 19800/25000 games, 2392s (0.121s/game)
w3: 20000/25000 games, 2417s (0.121s/game)
w3: 20200/25000 games, 2441s (0.121s/game)
w3: 20400/25000 games, 2465s (0.121s/game)
w3: 20600/25000 games, 2489s (0.121s/game)
w3: 20800/25000 games, 2512s (0.121s/game)
w3: 21000/25000 games, 2536s (0.121s/game)
w3: 21200/25000 games, 2560s (0.121s/game)
w3: 21400/25000 games, 2584s (0.121s/game)
w3: 21600/25000 games, 2608s (0.121s/game)
w3: 21800/25000 games, 2631s (0.121s/game)
w3: 22000/25000 games, 2655s (0.121s/game)
w3: 22200/25000 games, 2679s (0.121s/game)
w3: 22400/25000 games, 2705s (0.121s/game)
w3: 22600/25000 games, 2729s (0.121s/game)
w3: 22800/25000 games, 2753s (0.121s/game)
w3: 23000/25000 games, 2809s (0.122s/game)
w3: 23200/25000 games, 2832s (0.122s/game)
w3: 23400/25000 games, 2855s (0.122s/game)
w3: 23600/25000 games, 2878s (0.122s/game)
w3: 23800/25000 games, 2903s (0.122s/game)
w3: 24000/25000 games, 2927s (0.122s/game)
w3: 24200/25000 games, 2950s (0.122s/game)
w3: 24400/25000 games, 2974s (0.122s/game)
w3: 24600/25000 games, 2999s (0.122s/game)
w3: 24800/25000 games, 3023s (0.122s/game)
w3 DONE: 24946 games -> /home/jun/kaggle-ptcg-ai-battle/workspace/exp032_valuescale/data2/rows_w3.csv
