w3: 200/25000 games, 19s (0.095s/game)
w3: 400/25000 games, 39s (0.098s/game)
w3: 600/25000 games, 61s (0.102s/game)
w3: 800/25000 games, 84s (0.105s/game)
w3: 1000/25000 games, 107s (0.107s/game)
w3: 1200/25000 games, 130s (0.108s/game)
w3: 1400/25000 games, 153s (0.109s/game)
w3: 1600/25000 games, 176s (0.110s/game)
w3: 1800/25000 games, 199s (0.111s/game)
w3: 2000/25000 games, 221s (0.111s/game)
w3: 2200/25000 games, 244s (0.111s/game)
w3: 2400/25000 games, 267s (0.111s/game)
w3: 2600/25000 games, 290s (0.112s/game)
w3: 2800/25000 games, 313s (0.112s/game)
w3: 3000/25000 games, 336s (0.112s/game)
w3: 3200/25000 games, 358s (0.112s/game)
w3: 3400/25000 games, 382s (0.112s/game)
w3: 3600/25000 games, 407s (0.113s/game)
w3: 3800/25000 games, 434s (0.114s/game)
w3: 4000/25000 games, 459s (0.115s/game)
w3: 4200/25000 games, 482s (0.115s/game)
w3: 4400/25000 games, 505s (0.115s/game)
w3: 4600/25000 games, 529s (0.115s/game)
w3: 4800/25000 games, 553s (0.115s/game)
w3: 5000/25000 games, 578s (0.116s/game)
w3: 5200/25000 games, 602s (0.116s/game)
w3: 5400/25000 games, 626s (0.116s/game)
w3: 5600/25000 games, 649s (0.116s/game)
w3: 5800/25000 games, 672s (0.116s/game)
w3: 6000/25000 games, 694s (0.116s/game)
w3: 6200/25000 games, 717s (0.116s/game)
w3: 6400/25000 games, 741s (0.116s/game)
w3: 6600/25000 games, 765s (0.116s/game)
w3: 6800/25000 games, 792s (0.116s/game)
w3: 7000/25000 games, 816s (0.117s/game)
w3: 7200/25000 games, 840s (0.117s/game)
w3: 7400/25000 games, 863s (0.117s/game)
w3: 7600/25000 games, 887s (0.117s/game)
w3: 7800/25000 games, 912s (0.117s/game)
w3: 8000/25000 games, 936s (0.117s/game)
w3: 8200/25000 games, 959s (0.117s/game)
w3: 8400/25000 games, 983s (0.117s/game)
w3: 8600/25000 games, 1006s (0.117s/game)
w3: 8800/25000 games, 1030s (0.117s/game)
w3: 9000/25000 games, 1054s (0.117s/game)
w3: 9200/25000 games, 1078s (0.117s/game)
w3: 9400/25000 games, 1101s (0.117s/game)
w3: 9600/25000 games, 1125s (0.117s/game)
w3: 9800/25000 games, 1149s (0.117s/game)
w3: 10000/25000 games, 1175s (0.117s/game)
w3: 10200/25000 games, 1199s (0.118s/game)
w3: 10400/25000 games, 1223s (0.118s/game)
w3: 10600/25000 games, 1247s (0.118s/game)
w3: 10800/25000 games, 1270s (0.118s/game)
w3: 11000/25000 games, 1294s (0.118s/game)
w3: 11200/25000 games, 1317s (0.118s/game)
w3: 11400/25000 games, 1342s (0.118s/game)
w3: 11600/25000 games, 1368s (0.118s/game)
w3: 11800/25000 games, 1394s (0.118s/game)
w3: 12000/25000 games, 1418s (0.118s/game)
w3: 12200/25000 games, 1442s (0.118s/game)
w3: 12400/25000 games, 1465s (0.118s/game)
w3: 12600/25000 games, 1489s (0.118s/game)
w3: 12800/25000 games, 1512s (0.118s/game)
w3: 13000/25000 games, 1536s (0.118s/game)
w3: 13200/25000 games, 1559s (0.118s/game)
w3: 13400/25000 games, 1582s (0.118s/game)
w3: 13600/25000 games, 1607s (0.118s/game)
w3: 13800/25000 games, 1630s (0.118s/game)
w3: 14000/25000 games, 1653s (0.118s/game)
w3: 14200/25000 games, 1678s (0.118s/game)
w3: 14400/25000 games, 1701s (0.118s/game)
w3: 14600/25000 games, 1726s (0.118s/game)
w3: 14800/25000 games, 1750s (0.118s/game)
w3: 15000/25000 games, 1774s (0.118s/game)
w3: 15200/25000 games, 1798s (0.118s/game)
w3: 15400/25000 games, 1822s (0.118s/game)
w3: 15600/25000 games, 1847s (0.118s/game)
w3: 15800/25000 games, 1873s (0.119s/game)
w3: 16000/25000 games, 1897s (0.119s/game)
w3: 16200/25000 games, 1922s (0.119s/game)
w3: 16400/25000 games, 1945s (0.119s/game)
w3: 16600/25000 games, 1972s (0.119s/game)
w3: 16800/25000 games, 1996s (0.119s/game)
w3: 17000/25000 games, 2020s (0.119s/game)
w3: 17200/25000 games, 2044s (0.119s/game)
w3: 17400/25000 games, 2068s (0.119s/game)
w3: 17600/25000 games, 2093s (0.119s/game)
w3: 17800/25000 games, 2117s (0.119s/game)
w3: 18000/25000 games, 2142s (0.119s/game)
w3: 18200/25000 games, 2166s (0.119s/game)
w3: 18400/25000 games, 2191s (0.119s/game)
w3: 18600/25000 games, 2216s (0.119s/game)
w3: 18800/25000 games, 2239s (0.119s/game)
w3: 19000/25000 games, 2264s (0.119s/game)
w3: 19200/25000 games, 2289s (0.119s/game)
w3: 19400/25000 games, 2313s (0.119s/game)
w3: 19600/25000 games, 2338s (0.119s/game)
w3: 19800/25000 games, 2362s (0.119s/game)
w3: 20000/25000 games, 2386s (0.119s/game)
w3: 20200/25000 games, 2410s (0.119s/game)
w3: 20400/25000 games, 2434s (0.119s/game)
