w0: 200/25000 games, 20s (0.098s/game)
w0: 400/25000 games, 40s (0.100s/game)
w0: 600/25000 games, 63s (0.104s/game)
w0: 800/25000 games, 86s (0.107s/game)
w0: 1000/25000 games, 110s (0.110s/game)
w0: 1200/25000 games, 134s (0.111s/game)
w0: 1400/25000 games, 157s (0.112s/game)
w0: 1600/25000 games, 180s (0.112s/game)
w0: 1800/25000 games, 205s (0.114s/game)
w0: 2000/25000 games, 228s (0.114s/game)
w0: 2200/25000 games, 250s (0.114s/game)
w0: 2400/25000 games, 273s (0.114s/game)
w0: 2600/25000 games, 296s (0.114s/game)
w0: 2800/25000 games, 319s (0.114s/game)
w0: 3000/25000 games, 342s (0.114s/game)
w0: 3200/25000 games, 365s (0.114s/game)
w0: 3400/25000 games, 388s (0.114s/game)
w0: 3600/25000 games, 415s (0.115s/game)
w0: 3800/25000 games, 440s (0.116s/game)
w0: 4000/25000 games, 468s (0.117s/game)
w0: 4200/25000 games, 492s (0.117s/game)
w0: 4400/25000 games, 515s (0.117s/game)
w0: 4600/25000 games, 537s (0.117s/game)
w0: 4800/25000 games, 560s (0.117s/game)
w0: 5000/25000 games, 584s (0.117s/game)
w0: 5200/25000 games, 608s (0.117s/game)
w0: 5400/25000 games, 631s (0.117s/game)
w0: 5600/25000 games, 654s (0.117s/game)
w0: 5800/25000 games, 678s (0.117s/game)
w0: 6000/25000 games, 703s (0.117s/game)
w0: 6200/25000 games, 727s (0.117s/game)
w0: 6400/25000 games, 751s (0.117s/game)
w0: 6600/25000 games, 775s (0.117s/game)
w0: 6800/25000 games, 799s (0.118s/game)
w0: 7000/25000 games, 824s (0.118s/game)
w0: 7200/25000 games, 848s (0.118s/game)
w0: 7400/25000 games, 872s (0.118s/game)
w0: 7600/25000 games, 896s (0.118s/game)
w0: 7800/25000 games, 920s (0.118s/game)
w0: 8000/25000 games, 944s (0.118s/game)
w0: 8200/25000 games, 967s (0.118s/game)
w0: 8400/25000 games, 991s (0.118s/game)
w0: 8600/25000 games, 1015s (0.118s/game)
w0: 8800/25000 games, 1039s (0.118s/game)
w0: 9000/25000 games, 1068s (0.119s/game)
w0: 9200/25000 games, 1092s (0.119s/game)
w0: 9400/25000 games, 1116s (0.119s/game)
w0: 9600/25000 games, 1140s (0.119s/game)
w0: 9800/25000 games, 1165s (0.119s/game)
w0: 10000/25000 games, 1190s (0.119s/game)
w0: 10200/25000 games, 1215s (0.119s/game)
w0: 10400/25000 games, 1243s (0.119s/game)
w0: 10600/25000 games, 1265s (0.119s/game)
w0: 10800/25000 games, 1289s (0.119s/game)
w0: 11000/25000 games, 1311s (0.119s/game)
w0: 11200/25000 games, 1335s (0.119s/game)
w0: 11400/25000 games, 1360s (0.119s/game)
w0: 11600/25000 games, 1384s (0.119s/game)
w0: 11800/25000 games, 1408s (0.119s/game)
w0: 12000/25000 games, 1431s (0.119s/game)
w0: 12200/25000 games, 1458s (0.120s/game)
w0: 12400/25000 games, 1481s (0.119s/game)
