w1: 200/25000 games, 24s (0.118s/game)
w1: 400/25000 games, 48s (0.121s/game)
w1: 600/25000 games, 73s (0.122s/game)
w1: 800/25000 games, 98s (0.122s/game)
w1: 1000/25000 games, 122s (0.122s/game)
w1: 1200/25000 games, 146s (0.121s/game)
w1: 1400/25000 games, 170s (0.121s/game)
w1: 1600/25000 games, 194s (0.121s/game)
w1: 1800/25000 games, 218s (0.121s/game)
w1: 2000/25000 games, 243s (0.121s/game)
w1: 2200/25000 games, 266s (0.121s/game)
w1: 2400/25000 games, 289s (0.120s/game)
w1: 2600/25000 games, 313s (0.120s/game)
w1: 2800/25000 games, 337s (0.120s/game)
w1: 3000/25000 games, 361s (0.120s/game)
w1: 3200/25000 games, 384s (0.120s/game)
w1: 3400/25000 games, 408s (0.120s/game)
w1: 3600/25000 games, 431s (0.120s/game)
w1: 3800/25000 games, 455s (0.120s/game)
w1: 4000/25000 games, 479s (0.120s/game)
w1: 4200/25000 games, 503s (0.120s/game)
w1: 4400/25000 games, 526s (0.120s/game)
w1: 4600/25000 games, 551s (0.120s/game)
w1: 4800/25000 games, 576s (0.120s/game)
w1: 5000/25000 games, 600s (0.120s/game)
w1: 5200/25000 games, 623s (0.120s/game)
w1: 5400/25000 games, 647s (0.120s/game)
w1: 5600/25000 games, 671s (0.120s/game)
w1: 5800/25000 games, 694s (0.120s/game)
w1: 6000/25000 games, 718s (0.120s/game)
w1: 6200/25000 games, 742s (0.120s/game)
w1: 6400/25000 games, 766s (0.120s/game)
w1: 6600/25000 games, 789s (0.120s/game)
w1: 6800/25000 games, 813s (0.120s/game)
w1: 7000/25000 games, 837s (0.120s/game)
w1: 7200/25000 games, 861s (0.120s/game)
w1: 7400/25000 games, 884s (0.120s/game)
w1: 7600/25000 games, 908s (0.119s/game)
w1: 7800/25000 games, 931s (0.119s/game)
w1: 8000/25000 games, 954s (0.119s/game)
w1: 8200/25000 games, 977s (0.119s/game)
w1: 8400/25000 games, 1001s (0.119s/game)
w1: 8600/25000 games, 1025s (0.119s/game)
w1: 8800/25000 games, 1048s (0.119s/game)
w1: 9000/25000 games, 1072s (0.119s/game)
w1: 9200/25000 games, 1130s (0.123s/game)
w1: 9400/25000 games, 1152s (0.123s/game)
w1: 9600/25000 games, 1175s (0.122s/game)
w1: 9800/25000 games, 1198s (0.122s/game)
w1: 10000/25000 games, 1222s (0.122s/game)
w1: 10200/25000 games, 1246s (0.122s/game)
w1: 10400/25000 games, 1269s (0.122s/game)
w1: 10600/25000 games, 1292s (0.122s/game)
w1: 10800/25000 games, 1317s (0.122s/game)
w1: 11000/25000 games, 1341s (0.122s/game)
w1: 11200/25000 games, 1364s (0.122s/game)
w1: 11400/25000 games, 1387s (0.122s/game)
w1: 11600/25000 games, 1411s (0.122s/game)
w1: 11800/25000 games, 1434s (0.122s/game)
w1: 12000/25000 games, 1457s (0.121s/game)
w1: 12200/25000 games, 1480s (0.121s/game)
w1: 12400/25000 games, 1503s (0.121s/game)
w1: 12600/25000 games, 1526s (0.121s/game)
w1: 12800/25000 games, 1550s (0.121s/game)
w1: 13000/25000 games, 1574s (0.121s/game)
w1: 13200/25000 games, 1598s (0.121s/game)
w1: 13400/25000 games, 1623s (0.121s/game)
w1: 13600/25000 games, 1647s (0.121s/game)
w1: 13800/25000 games, 1670s (0.121s/game)
w1: 14000/25000 games, 1693s (0.121s/game)
w1: 14200/25000 games, 1717s (0.121s/game)
w1: 14400/25000 games, 1740s (0.121s/game)
w1: 14600/25000 games, 1763s (0.121s/game)
w1: 14800/25000 games, 1787s (0.121s/game)
w1: 15000/25000 games, 1810s (0.121s/game)
w1: 15200/25000 games, 1834s (0.121s/game)
w1: 15400/25000 games, 1858s (0.121s/game)
